__;CAMINHO NO XML;CAMPO;ELE;TIPO;OCOR.;TAM.;DESCRIÇÃO;NOTAS EXPLICATIVAS;;;;;;
41;NFSe/infNFSe/valores/;pAliqAplic;E;N;0-1;1-2V2;"Alíquota aplicada sobre a base de cálculo para apuração do ISSQN.
";" A - O valor percentual da aliquota aplicada (%) poderá ser:

1) o percentual de alíquota informado pelo emitente na DPS;

2) o percentual de alíquota previamente parametrizado pelo município de incidência no código de serviço;

3) o percentual de alíquota diferenciada, previamente parametrizada pelo município de incidência do ISSQN, no benefício municipal que foi indicado pelo emitente na DPS (quando este benefício municipal referir-se a uma alíquota diferenciada;

*A ordem de prioridade para a utilização da aliquota aplicada é decrescente conforme itens acima.

Uma alíquota diferenciada, sobrepõem uma alíquota parametrizada pelo município no código de tributação nacional ou municipal (se for o caso).
Um alíquota parametrizada sobrepõem uma alíquota informada na DPS.

*Considerar data de competência informada na DPS para recuperar a alíquota em qualquer um dos casos.

B - Se o emitente informar na DPS para o campo Regime Especial de Tributação, ""Profissional Autônomo"" ou ""Sociedade de Profissionais"", e para o campo Exigibilidade, ""Exigível"", não há destaque de ISSQN na NFS-e. Os campos pAliqAplic, vISSQN da NFS-e não contém valor.";;;;;;
42;NFSe/infNFSe/valores/;vISSQN;E;N;0-1;1-15V2;"Valor do ISSQN (R$) = Valor da Base de Cálculo x Alíquota

vISSQN = vBC x pAliqAplic";-;;;;;;
43;NFSe/infNFSe/valores/;vTotalRet;E;N;0-1;1-15V2;"Valor total de retenções (R$) = ?(CP + IRRF + CSLL  + ISSQN* +  
(PIS + CONFINS)**)

vTotalRet = (vRetCP + vRetIRRF + vRetCSLL) + vISSQN* + 
(vPIS + vCOFINS)**";"Os tributos Contribuição Patronal (vRetCP), Imposto de Renda Retido na Fonte (vRetIRRF) e Contribuição Social  (vRetCSLL)

*Para o resultado do valor total de retenções o ISSQN somente será somado quando for retido.
ISSQN pode não sofrer retenção.
(verificar o campo tpRetISSQN. Se for igual a 1 então valor do ISSQN não deverá ser somado a vTotalRet. 
Se for igual a 2 ou 3 deverá ser somado ao valor de vTotalRet).

**Para o resultado do valor total de retenções Pis/Cofins somente serão somados quando forem retidos.
Pis/Cofins podem não sofrer retenção.
Somar os valores de Pis/Cofins a vTotalRet conforme os possíveis valores para o campo tpRetPisCofins informado na DPS
1 - PIS/COFINS Retido;
2 - PIS/COFINS Não Retido;
3 - PIS Retido/COFINS Não Retido;
4 - PIS Não Retido/COFINS Retido;
";;;;;;
44;NFSe/infNFSe/valores/;vLiq;E;N;1-1;1-15V2;"Valor líquido (R$) = Valor do serviço - Desconto condicionado - Desconto incondicionado - Valores retidos (CP, IRRF, CSLL)* - Valores, se retidos (ISSQN, PIS, COFINS)**

VLiq = vServ – vDescIncond – vDescCond – (vRetCP + vRetIRRF + vRetCSLL)* – ( vISSQN - vPIS + vCOFINS)**";"*Para o resultado do Valor Líquido o CP, IRRF e CSLL serão sempre subtraídos, se constarem na DPS, pois sempre são retidos.

**Para o resultado do Valor Líquido o ISSQN, PIS e COFINS somente serão subtraídos quando forem retidos.";;;;;;
45;NFSe/infNFSe/;xOutInf;E;C;0-1;2000;Uso da Administração Tributária Municipal.;"O Sistema Nacional NFS-e deverá incluir estas mensagens quando:

1) ocorrer os cenários 28 e 34, conforme a planilha ""COMEX - EXPORTAÇÃO DE SERVIÇO"" do AnexoI-LeiautesRN_DPS_NFSe-SNNFSe.

""Por não se tratar de um caso de Exportação de serviço ou Imunidade tributária, então, para este cenário em que foi informado que o tomador do serviço está no exterior e o serviço prestado é devido no local do estabelecimento do tomador, o sujeito passivo será o prestador do serviço e o local de incidência do ISSQN será o local da prestação do serviço, conforme os parágrafos 1º e 2º do Art. 127 do CTN.""";;;;;;
46;NFSe/infNFSe/;DPS;G;-;1-1;-;Grupo de informações da DPS relativas ao serviço prestado;-;;;;;;
47;NFSe/infNFSe/DPS/;versao;A;C;1-1;1-4V2;Versão do leiaute da DPS.;-;;;;;;
48;NFSe/infNFSe/DPS/;infDPS;G;-;1-1;-;"Grupo de Informações da
Declaração de Prestação de Serviços - DPS";-;;;;;;
49;NFSe/infNFSe/DPS/infDPS/;id;ID;C;1-1;45;"O identificador da DPS é composto pela concatenação de campos que constam no leiaute da DPS.
A formação deste identificador considera o literal ""DPS"" associado a outras 42 posições numéricas, conforme descrito abaixo:

""DPS"" + 
Cód.Mun. (7) + 
Tipo de Inscrição Federal (1) + 
Inscrição Federal (14 - CPF completar com 000 à esquerda) + 
Série DPS (5) + 
Núm. DPS (15)";"Tipo de inscrição Federal = 1 / Inscrição Federal = CPF emitente da DPS;
Tipo de inscrição Federal = 2 / Inscrição Federal = CNPJ emitente da DPS;";;;;;;
50;NFSe/infNFSe/DPS/infDPS/;tpAmb;E;N;1-1;1;" Identificação do tipo de ambiente no Sistema Nacional NFS-e: 
1 - Produção; 
2 - Homologação;";-;;;;;;
51;NFSe/infNFSe/DPS/infDPS/;dhEmi;E;D;1-1;-;"Data e hora da emissão da DPS.
Data e hora no formato UTC (Universal Coordinated Time):
AAAA-MM-DDThh:mm:ssTZD";-;;;;;;
52;NFSe/infNFSe/DPS/infDPS/;verAplic;E;C;1-1;1-20;Versão do aplicativo que gerou a DPS.;-;;;;;;
53;NFSe/infNFSe/DPS/infDPS/;serie;E;N;1-1;5;Série da DPS.;"Faixas de utilização da série da DPS:

00001 a 49999 - Emissão com aplicativo p?oprio;
50000 a 69999 - Emissor Móvel;
70000 a 79999 - Emissor Web;
80000 a 89999 - Emissão com *transcrissão manual (Web);

*O emitente deve informar o número de série (transcrever o número de série) que foi repassado ao não emitente da NFS-e.";;;;;;
54;NFSe/infNFSe/DPS/infDPS/;nDPS;E;N;1-1;15;Número da DPS.;-;;;;;;
55;NFSe/infNFSe/DPS/infDPS/;dCompet;E;D;1-1;-;"Data de competência da prestação do serviço.
Ano, Mês e Dia (AAAA-MM-DD)";A data de competência deve ser única e ser a mesma que a data do fato gerador do tributo, ou seja, a data da prestação do serviço.;;;;;;
56;NFSe/infNFSe/DPS/infDPS/;tpEmit;E;N;1-1;1;"Emitente da DPS:

1 - Prestador;
2 - Tomador;
3 - Intermediário;";-;;;;;;
