__;CAMINHO NO XML;CAMPO;ELE;TIPO;OCOR.;TAM.;DESCRIÇÃO;NOTAS EXPLICATIVAS;;;;;;
230;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endNac/;CEP;E;C;1-1;8;"Código numérico do Endereçamento Postal nacional (CEP) 
 do endereço do fornecedor.";-;;;;;;
231;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/;endExt;CG;-;1-1;-;Grupo de informações do endereço no exterior.;-;;;;;;
232;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endExt/;cPais;E;C;1-1;2;"Código do país do endereço do prestador do fornecedor.
 (Tabela de Países ISO)";-;;;;;;
233;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endExt/;cEndPost;E;C;1-1;11;Código alfanumérico do Endereçamento Postal no exterior do fornecedor.;-;;;;;;
234;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endExt/;xCidade;E;C;1-1;1-60;Nome da cidade no exterior do fornecedor.;-;;;;;;
235;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endExt/;xEstProvReg;E;C;1-1;1-60;Estado, província ou região da cidade no exterior do fornecedor.;-;;;;;;
236;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;xLgr;E;C;1-1;1-255;Tipo e nome do logradouro do endereço do fornecedor.;-;;;;;;
237;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;nro;E;C;1-1;1-60;Número no logradouro do endereço do fornecedor.;-;;;;;;
238;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;xCpl;E;C;0-1;1-156;Complemento do endereço do fornecedor.;-;;;;;;
239;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;xBairro;E;C;1-1;1-60;Bairro do endereço do fornecedor.;-;;;;;;
240;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;fone;E;N;0-1;6-20;"Número do telefone do fornecedor.
(Preencher com o Código DDD + número do telefone. 
Nas operações com exterior é permitido informar o código do país + código da localidade + número do telefone)";-;;;;;;
241;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;email;E;C;0-1;1-80;E-mail do fornecedor.;-;;;;;;
242;NFSe/infNFSe/DPS/infDPS/valores/;trib;G;-;1-1;-;Grupo de informações relacionados aos tributos relacionados ao serviço prestado;-;;;;;;
243;NFSe/infNFSe/DPS/infDPS/valores/trib/;tribMun;G;-;1-1;-;"Grupo de informações relacionados ao 
Imposto Sobre Serviços de Qualquer Natureza - ISSQN";-;;;;;;
244;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/;tribISSQN;E;N;1-1;1;"Tributação do ISSQN sobre o serviço prestado:

1 - Operação tributável;
2 - Imunidade;
3 - Exportação de serviço;
4 - Não Incidência;";-;;;;;;
245;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/;cPaisResult;E;C;0-1;2;"Código do país onde ocorreu o resultado do serviço prestado.
(Tabela de Países ISO)";Se houver indicação pelo emitente de exportação de serviço, mesmo não havendo nenhum elemento para a ocorrência de exportação, então o emitente deve indicar em qual país ocorreu o resultado do serviço prestado.;;;;;;
246;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/;tpImunidade;E;N;0-1;1;"Identificação da Imunidade do ISSQN – somente para o caso de Imunidade.

Tipos de Imunidades:

0 - Imunidade (tipo não informado na nota de origem);
1 - Patrimônio, renda ou serviços, uns dos outros (CF88, Art 150, VI, a);
2 - Entidades religiosas e templos de qualquer culto, inclusive suas organizações assistenciais e beneficentes (CF88, Art 150, VI, b);
3 - Patrimônio, renda ou serviços dos partidos políticos, inclusive suas fundações, das entidades sindicais dos trabalhadores, das instituições de educação e de assistência social, sem fins lucrativos, atendidos os requisitos da lei (CF88, Art 150, VI, c);
4 - Livros, jornais, periódicos e o papel destinado a sua impressão (CF88, Art 150, VI, d);
5 - Fonogramas e videofonogramas musicais produzidos no Brasil contendo obras musicais ou literomusicais de autores brasileiros e/ou obras em geral interpretadas por artistas brasileiros bem como os suportes materiais ou arquivos digitais que os contenham, salvo na etapa de replicação industrial de mídias ópticas de leitura a laser.   (CF88, Art 150, VI, e);";O valor 0 deve ser utilizado como opção de preenchimento do campo somente no compartilhamento de NFS-e pelo municipio com o ADN NFS-e.;;;;;;
247;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/;exigSusp;G;-;0-1;-;Informações para a suspensão da Exigibilidade do ISSQN;-;;;;;;
248;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/exigSusp/;tpSusp;E;N;1-1;1;"Opção para Exigibilidade Suspensa:

1 - Exigibilidade do ISSQN Suspensa por Decisão Judicial;
2 - Exigibilidade do ISSQN Suspensa por Processo Administrativo;";-;;;;;;
249;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/exigSusp/;nProcesso;E;C;1-1;30;Número do processo judicial ou administrativo de suspensão da exigibilidade.;-;;;;;;
250;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/;BM;G;-;0-1;-;Grupo de informações sobre o tipo do Benefício Municipal;-;;;;;;
251;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/BM/;nBM;E;N;1-1;14;"Identificador do benefício parametrizado pelo município.

Trata-se de um identificador único que foi gerado pelo Sistema Nacional no momento em que o município de incidência do ISSQN incluiu o benefício no sistema.

Critério de formação do número de identificação de parâmetros municipais:

7 dígitos - posição 1 a 7: número identificador do Município, conforme código IBGE;
2 dígitos - posições 8 e 9 : número identificador do tipo de parametrização 
(01-legislação, 02-regimes especiais, 03-retenções, 04-outros benefícios);
5 dígitos - posição 10 a 14 : número sequencial definido pelo sistema quando do registro específico do parâmetro dentro do tipo de parametrização no sistema;";"Trata-se de um identificador único que foi gerado pelo Sistema Nacional no momento em que o município de incidência do ISSQN incluiu o benefício no sistema.

Critério de formação do número de identificação de parâmetros municipais:

7 dígitos - posição 1 a 7: número identificador do Município, conforme código IBGE;

2 dígitos - posições 8 e 9 : número identificador do tipo de parametrização 
(01-legislação, 02-regimes especiais, 03-retenções, 04-outros benefícios);

5 dígitos - posição 10 a 14 : número sequencial definido pelo sistema quando do registro específico do parâmetro dentro do tipo de parametrização no sistema;

O emitente poderá obter essa informação de parametrização do município através de API própria que dará publicidade às parametrizações dos municípios.";;;;;;
252;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/BM/;vRedBCBM;E;N;0-1;1-15V2;Valor monetário (R$) informado pelo emitente para redução da base de cálculo (BC) do ISSQN devido a um Benefício Municipal (BM).;-;;;;;;
253;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/BM/;pRedBCBM;E;N;0-1;1-3V2;Valor percentual (%) informado pelo emitente para redução da base de cálculo (BC) do ISSQN devido a um Benefício Municipal (BM).;O limite para este valor percentual informado pelo emitente está previamente parametrizado pelo município de incidência no cadastro do benefício municipal.;;;;;;
254;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/; tpRetISSQN;E;N;1-1;1;"Tipo de retencao do ISSQN:

1 - Não Retido;
2 - Retido pelo Tomador;
3 - Retido pelo Intermediario;";-;;;;;;
255;NFSe/infNFSe/DPS/infDPS/valores/trib/tribMun/;pAliq;E;N;0-1;1V2;Valor da alíquota (%) do serviço prestado relativo ao município sujeito ativo (município de incidência) do ISSQN.;"Se o município de incidência pertence ao Sistema Nacional NFS-e a alíquota estará parametrizada e, portanto, será fornecida pelo sistema.

Se o município de incidência não pertence ao Sistema Nacional NFS-e a alíquota não estará parametrizada e, por isso, deverá ser fornecida pelo emitente.";;;;;;
256;NFSe/infNFSe/DPS/infDPS/valores/trib/;tribFed;G;-;0-1;-;Grupo de informações de outros tributos relacionados ao serviço prestado;-;;;;;;
257;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/;piscofins;G;-;0-1;-;Grupo de informações dos tributos PIS/COFINS;-;;;;;;
258;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;CST;E;N;1-1;2;"        Código de Situação Tributária do PIS/COFINS (CST):

00 - Nenhum;      
01 - Operação Tributável com Alíquota Básica;
02 - Operação Tributável com Alíquota Diferenciada;
03 - Operação Tributável com Alíquota por Unidade de Medida de Produto;
04 - Operação Tributável monofásica - Revenda a Alíquota Zero;
05 - Operação Tributável por Substituição Tributária;
06 - Operação Tributável a Alíquota Zero;
07 - Operação Tributável da Contribuição;
08 - Operação sem Incidência da Contribuição;
09 - Operação com Suspensão da Contribuição;";-;;;;;;
259;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;vBCPisCofins;E;N;0-1;1-15V2;Valor da Base de Cálculo do PIS/COFINS (R$).;-;;;;;;
260;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;pAliqPis;E;N;0-1;1-2V2;Valor da Alíquota do PIS (%).;-;;;;;;
261;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;pAliqCofins;E;N;0-1;1-2V2;Valor da Alíquota da COFINS (%).;-;;;;;;
262;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;vPis;E;N;0-1;1-15V2;Valor monetário do PIS (R$).;-;;;;;;
263;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/;vCofins;E;N;0-1;1-15V2;Valor monetário do COFINS (R$).;-;;;;;;
264;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/piscofins/; tpRetPisCofins;E;N;0-1;1;"Tipo de retenção ao do PIS/COFINS:

1 - PIS/COFINS Retido;
2 - PIS/COFINS Não Retido;
3 - PIS Retido/COFINS Não Retido;
4 - PIS Não Retido/COFINS Retido;";-;;;;;;
265;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/;vRetCP;E;N;0-1;1-15V2;Valor monetário do CP(R$).;-;;;;;;
266;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/;vRetIRRF;E;N;0-1;1-15V2;Valor monetário do IRRF (R$).;-;;;;;;
267;NFSe/infNFSe/DPS/infDPS/valores/trib/tribFed/;vRetCSLL;E;N;0-1;1-15V2;Valor monetário do CSLL (R$).;-;;;;;;
268;NFSe/infNFSe/DPS/infDPS/valores/trib/;totTrib;G;-;1-1;-;Grupo de informações para totais aproximados dos tributos relacionados ao serviço prestado;;;;;;;
269;NFSe/infNFSe/DPS/infDPS/valores/trib/totTrib/;vTotTrib;CG;-;1-1;-;"Valor monetário total aproximado dos tributos,
em conformidade com o artigo 1o da Lei no 12.741/2012";;;;;;;
270;NFSe/infNFSe/DPS/infDPS/valores/trib/totTrib/vTotTrib/;vTotTribFed;E;N;1-1;1-15V2;Valor monetário total aproximado dos tributos federais (R$).;;;;;;;
271;NFSe/infNFSe/DPS/infDPS/valores/trib/totTrib/vTotTrib/;vTotTribEst;E;N;1-1;1-15V2;Valor monetário total aproximado dos tributos estaduais (R$).;;;;;;;
272;NFSe/infNFSe/DPS/infDPS/valores/trib/totTrib/vTotTrib/;vTotTribMun;E;N;1-1;1-15V2;Valor monetário total aproximado dos tributos municipais (R$).;;;;;;;
273;NFSe/infNFSe/DPS/infDPS/valorestrib/totTrib/;pTotTrib;CG;-;1-1;-;"Valor percentual total aproximado dos tributos,
em conformidade com o artigo 1o da Lei no 12.741/2012";;;;;;;
274;NFSe/infNFSe/DPS/infDPS/valores/trib/totTrib/pTotTrib/;pTotTribFed;E;N;1-1;1-2V2;Valor percentual total aproximado dos tributos federais (%).;;;;;;;
275;NFSe/infNFSe/DPS/infDPS/valores/trib/totTrib/pTotTrib/;pTotTribEst;E;N;1-1;1-2V2;Valor percentual total aproximado dos tributos estaduais (%).;;;;;;;
276;NFSe/infNFSe/DPS/infDPS/valores/trib/totTrib/pTotTrib/;pTotTribMun;E;N;1-1;1-2V2;Valor percentual total aproximado dos tributos municipais (%).;;;;;;;
277;NFSe/infNFSe/DPS/infDPS/valores/trib/totTrib/;indTotTrib;CE;N;1-1;1;"Indicador de informação de valor total de tributos.
Se informado indica que o emitente opta por não informar nenhum valor estimado para os Tributos
(Decreto 8.264/2014).

0 - Não;";;;;;;;
278;NFSe/infNFSe/DPS/infDPS/valores/trib/totTrib/;pTotTribSN;CE;N;1-1;1-2V2;Valor percentual aproximado do total dos tributos da alíquota do Simples Nacional (%).;;;;;;;
279;NFSe/infNFSe/DPS/infDPS/;Signature;G;-;0-1;-;"Assinatura XML da NFS-e Segundo o Padrão XML Digital Signature
Obrigatório quando for enviado para API.
Demais casos poderão ser opcionais a serem definidos em regra de validação.";-;;;;;;
280;NFSe/;Signature;G;-;1-1;-;Assinatura XML da NFS-e segundo o padrão XML digital signature;-;;;;;;
